CD_MUN,NR_TURNO,CD_CARGO,NR_VOTAVEL,SQ_CANDIDATO,QT_VOTOS
2611533,1,7,22,-3,20
2611533,1,7,23,-3,1
2611533,1,7,28,-3,1
2611533,1,7,36,-3,1
2611533,1,7,40,-3,33
2611533,1,7,43,-3,2
2611533,1,7,44,-3,24
2611533,1,7,45,-3,9
2611533,1,7,50,-3,1
2611533,1,7,55,-3,143
2611533,1,7,70,-3,22
2611533,1,7,77,-3,25
2611533,1,7,95,-1,274
2611533,1,7,96,-1,150
2611533,1,7,10123,170001595431,6
2611533,1,7,10222,170001595427,9
2611533,1,7,11000,170001618735,43
2611533,1,7,11011,170001618730,27
2611533,1,7,11111,170001618745,1
2611533,1,7,11200,170001618738,1
2611533,1,7,11222,170001618752,11
2611533,1,7,11444,170001618737,10
2611533,1,7,12333,170001618942,1
2611533,1,7,12345,170001618937,2
2611533,1,7,13111,170001608981,179
2611533,1,7,13123,170001608977,304
2611533,1,7,13144,170001608975,2
2611533,1,7,13180,170001608963,3
2611533,1,7,13789,170001608958,3
2611533,1,7,22000,170001619683,2
2611533,1,7,22010,170001619693,1
2611533,1,7,22100,170001619712,1
2611533,1,7,22123,170001619717,85
2611533,1,7,22222,170001619685,204
2611533,1,7,22300,170001619707,2
2611533,1,7,22345,170001619697,1
2611533,1,7,22678,170001619725,1
2611533,1,7,22999,170001619699,6
2611533,1,7,23999,170001605473,1
2611533,1,7,40000,170001620388,11
2611533,1,7,40013,170001620368,1
2611533,1,7,40100,170001620395,5
2611533,1,7,40111,170001620377,2
2611533,1,7,40123,170001620371,2
2611533,1,7,40190,170001620397,3
2611533,1,7,40400,170001620364,2
2611533,1,7,40413,170001620399,701
2611533,1,7,40456,170001620379,13
2611533,1,7,40640,170001620382,1
2611533,1,7,40654,170001620393,1
2611533,1,7,40678,170001620387,5
2611533,1,7,40777,170001620374,2
2611533,1,7,40789,170001620376,2
2611533,1,7,43123,170001608971,2
2611533,1,7,43333,170001608972,49
2611533,1,7,43555,170001608973,15
2611533,1,7,44000,170001609285,2
2611533,1,7,44111,170001609284,3
2611533,1,7,44144,170001613821,2
2611533,1,7,44444,170001609265,3
2611533,1,7,44477,170001609296,2
2611533,1,7,44555,170001609274,1
2611533,1,7,44777,170001609260,1748
