NR_TURNO,CD_MUN,NM_MUN,CD_CARGO,NR_VOTAVEL,SQ_CANDIDATO,QT_VOTOS
1,23000,QUIXABA,7,13,-3,113
1,23000,QUIXABA,7,22,-3,20
1,23000,QUIXABA,7,23,-3,1
1,23000,QUIXABA,7,28,-3,1
1,23000,QUIXABA,7,36,-3,1
1,23000,QUIXABA,7,40,-3,33
1,23000,QUIXABA,7,43,-3,2
1,23000,QUIXABA,7,44,-3,24
1,23000,QUIXABA,7,45,-3,9
1,23000,QUIXABA,7,50,-3,1
1,23000,QUIXABA,7,55,-3,143
1,23000,QUIXABA,7,70,-3,22
1,23000,QUIXABA,7,77,-3,25
1,23000,QUIXABA,7,95,-1,274
1,23000,QUIXABA,7,96,-1,150
1,23000,QUIXABA,7,10123,170001595431,6
1,23000,QUIXABA,7,10222,170001595427,9
1,23000,QUIXABA,7,11000,170001618735,43
1,23000,QUIXABA,7,11011,170001618730,27
1,23000,QUIXABA,7,11111,170001618745,1
1,23000,QUIXABA,7,11200,170001618738,1
1,23000,QUIXABA,7,11222,170001618752,11
1,23000,QUIXABA,7,11444,170001618737,10
1,23000,QUIXABA,7,12333,170001618942,1
1,23000,QUIXABA,7,12345,170001618937,2
1,23000,QUIXABA,7,13111,170001608981,179
1,23000,QUIXABA,7,13123,170001608977,304
1,23000,QUIXABA,7,13144,170001608975,2
1,23000,QUIXABA,7,13180,170001608963,3
1,23000,QUIXABA,7,13789,170001608958,3
1,23000,QUIXABA,7,22000,170001619683,2
1,23000,QUIXABA,7,22010,170001619693,1
1,23000,QUIXABA,7,22100,170001619712,1
1,23000,QUIXABA,7,22123,170001619717,85
1,23000,QUIXABA,7,22222,170001619685,204
1,23000,QUIXABA,7,22300,170001619707,2
1,23000,QUIXABA,7,22345,170001619697,1
1,23000,QUIXABA,7,22678,170001619725,1
1,23000,QUIXABA,7,22999,170001619699,6
1,23000,QUIXABA,7,23999,170001605473,1
1,23000,QUIXABA,7,40000,170001620388,11
1,23000,QUIXABA,7,40013,170001620368,1
1,23000,QUIXABA,7,40100,170001620395,5
1,23000,QUIXABA,7,40111,170001620377,2
1,23000,QUIXABA,7,40123,170001620371,2
1,23000,QUIXABA,7,40190,170001620397,3
1,23000,QUIXABA,7,40400,170001620364,2
1,23000,QUIXABA,7,40413,170001620399,701
1,23000,QUIXABA,7,40456,170001620379,13
1,23000,QUIXABA,7,40640,170001620382,1
1,23000,QUIXABA,7,40654,170001620393,1
1,23000,QUIXABA,7,40678,170001620387,5
1,23000,QUIXABA,7,40777,170001620374,2
1,23000,QUIXABA,7,40789,170001620376,2
1,23000,QUIXABA,7,43123,170001608971,2
1,23000,QUIXABA,7,43333,170001608972,49
1,23000,QUIXABA,7,43555,170001608973,15
1,23000,QUIXABA,7,44000,170001609285,2
1,23000,QUIXABA,7,44111,170001609284,3
1,23000,QUIXABA,7,44144,170001613821,2
1,23000,QUIXABA,7,44444,170001609265,3
1,23000,QUIXABA,7,44477,170001609296,2
1,23000,QUIXABA,7,44555,170001609274,1
1,23000,QUIXABA,7,44777,170001609260,1748
1,23000,QUIXABA,7,44999,170001609281,1
1,23000,QUIXABA,7,45000,170001605464,9
1,23000,QUIXABA,7,45245,170001605475,1
1,23000,QUIXABA,7,45500,170001605468,2
1,23000,QUIXABA,7,50000,170001618395,1
1,23000,QUIXABA,7,50013,170001618407,8
1,23000,QUIXABA,7,51555,170001609868,2
1,23000,QUIXABA,7,55555,170001609931,3
1,23000,QUIXABA,7,65123,170001608952,5
1,23000,QUIXABA,7,70123,170001613430,7
1,23000,QUIXABA,7,70700,170001613434,3
1,23000,QUIXABA,7,77000,170001610738,1
1,23000,QUIXABA,7,77111,170001610750,47
1,23000,QUIXABA,7,77123,170001610741,11
1,23000,QUIXABA,7,77137,170001610752,1
1,23000,QUIXABA,7,77444,170001610721,1
1,23000,QUIXABA,7,77710,170001610718,1
1,23000,QUIXABA,7,77770,170001610745,530
1,23000,QUIXABA,7,77777,170001610753,11
1,23019,AFOGADOS DA INGAZEIRA,3,14,170001618273,27
