CD_CARGO,NR_TURNO,CD_MUN,QT_VOTOS
6,1,2601300,7724
6,1,2601409,20515
6,1,2601508,6751
6,1,2601607,11424
6,1,2601706,41187
6,1,2601805,7056
6,1,2601904,32514
6,1,2602001,18947
6,1,2602100,23750
6,1,2602209,21016
6,1,2602308,20749
6,1,2602407,6440
6,1,2602506,5069
6,1,2602605,22773
6,1,2602704,8277
6,1,2602803,25203
6,1,2602902,111120
6,1,2603009,19135
6,1,2603108,10487
6,1,2603207,12687
6,1,2603306,5504
6,1,2603405,4962
6,1,2603454,88434
6,1,2603504,10287
6,1,2603603,5140
6,1,2603702,12000
6,1,2603801,10220
6,1,2603900,11189
6,1,2603926,8649
6,1,2604007,41761
6,1,2604106,175812
6,1,2604155,8276
6,1,2604205,17290
6,1,2604304,6885
6,1,2604403,8355
6,1,2604502,12518
6,1,2604601,13796
6,1,2604700,9060
6,1,2604809,7539
6,1,2604908,10584
6,1,2605004,14010
6,1,2605103,19234
6,1,2605152,11896
6,1,2605202,34663
6,1,2605301,19242
6,1,2605400,12735
6,1,2605459,2000
6,1,2605509,6800
6,1,2605608,11187
6,1,2605707,17712
6,1,2605806,9163
6,1,2605905,10514
6,1,2606002,68343
6,1,2606101,15679
6,1,2606200,44966
6,1,2606309,5298
6,1,2606408,43039
6,1,2606507,10209
6,1,2606606,14483
6,1,2606705,4777
6,1,2606804,61573
6,1,2606903,6283
6,1,2607000,10328
6,1,2607109,2958
6,1,2607208,56885
6,1,2607307,15478
6,1,2607406,3400
6,1,2607505,13683
6,1,2607604,12614
6,1,2607653,16464
6,1,2607703,8544
6,1,2607752,14184
6,1,2607802,9687
6,1,2607901,316962
6,1,2607950,6451
6,1,2608008,10271
6,1,2608057,7861
6,1,2608107,16576
6,1,2608206,9256
6,1,2608255,6834
6,1,2608305,8413
6,1,2608404,8172
6,1,2608453,11227
6,1,2608503,12535
6,1,2608602,7941
6,1,2608701,8272
6,1,2608750,15217
6,1,2608800,21913
6,1,2608909,32874
6,1,2609006,13393
6,1,2609105,7448
6,1,2609154,9097
6,1,2609204,5983
6,1,2609303,8309
6,1,2609402,34244
6,1,2609501,17731
6,1,2609600,219987
6,1,2609709,12817
6,1,2609808,9078
6,1,2609907,34795
6,1,2610004,27626
6,1,2610103,4027
6,1,2610202,14392
6,1,2610301,7981
6,1,2610400,13543
6,1,2610509,17708
6,1,2610608,32204
6,1,2610707,166607
6,1,2610806,13257
6,1,2610905,33584
6,1,2611002,18202
6,1,2611101,170691
6,1,2611200,6997
6,1,2611309,14130
6,1,2611408,7654
6,1,2611507,9923
6,1,2611533,4510
6,1,2611606,908194
6,1,2611705,15003
6,1,2611804,19766
6,1,2611903,11305
6,1,2612000,8011
6,1,2612109,4858
6,1,2612208,30265
6,1,2612307,8346
6,1,2612406,11147
6,1,2612455,9690
6,1,2612471,6830
6,1,2612505,47936
6,1,2612554,9144
6,1,2612604,22996
6,1,2612703,7634
6,1,2612802,5819
6,1,2612901,5157
6,1,2613008,23243
6,1,2613107,21340
6,1,2613206,12603
6,1,2613305,12012
6,1,2613404,10594
6,1,2613503,18531
6,1,2613602,15907
6,1,2613701,57822
6,1,2613800,10295
6,1,2613909,44422
6,1,2614006,11593
6,1,2614105,17198
6,1,2614204,19783
