NR_TURNO,CD_CARGO,SQ_CANDIDATO,NM_URNA_CANDIDATO,NM_CANDIDATO,NR_CANDIDATO,NR_PARTIDO,SG_PARTIDO,CD_SITUACAO_CANDIDATURA,CD_SIT_TOT_TURNO
1,7,170001618744,ADEMAR DE BARROS,ADEMAR SOARES DE BARROS,11311,11,PP,12,5
1,7,170001609292,DR . GIL,GILVANI DE OLIVEIRA LIMA,44600,44,UNIÃO,12,5
1,6,170001610412,ELIZEU MACIEL,ELIZEU ANTONIO MACIEL,7022,70,AVANTE,12,5
1,7,170001722251,JOÃO AMÉRICO,JOÃO AMÉRICO REIS DOS SANTOS,35232,35,PMB,12,4
1,6,170001738823,ARNALDO DELMONDES,ARNALDO DELMONDES OLIVEIRA,4414,44,UNIÃO,3,4
1,7,170001609309,ARNALDO DELMONDES,ARNALDO DELMONDES OLIVEIRA,44144,44,UNIÃO,3,-1
1,7,170001618928,MARI LESSA,MARIANA MEDEIROS LESSA,12100,12,PDT,12,4
1,6,170001618606,DEBORA SERAFIM,DEBORA MARIA DA FONSECA SOUZA MENEZES,1199,11,PP,12,5
1,7,170001619728,SHERLEY GOMES,SHERLEY DA SILVA GOMES BARROS DO NASCIMENTO,22353,22,PL,12,5
1,6,170001604102,LARISSA CALO,LARISSA MARIA CALO MESQUITA,4528,45,PSDB,12,4
1,6,170001609120,REGINA LAPA,REGINA CARLA CARNEIRO DA CUNHA PINTO LAPA PIMENTEL,4420,44,UNIÃO,12,5
1,4,170001602586,IZABEL URQUIZA,IZABEL URQUIZA GODOI ALMEIDA,22,22,PL,12,4
1,6,170001602575,JULIANA CHAVES,JULIANA FERREIRA CHAVES,1940,19,PODE,12,4
1,6,170001609072,ANELIDIA,MARIA JOSE ANELIDIA CAVALCANTE SILVA DE ARAUJO,2212,22,PL,12,5
1,7,170001618756,CLAUDIANO FILHO,CLAUDIANO FERREIRA MARTINS FILHO,11555,11,PP,12,2
1,6,170001718778,ENEAS DE FREITAS,ENEAS ESTEVES DE FREITAS,3656,36,AGIR,3,-1
1,7,170001613422,SERGIO BRITES,SERGIO HENRIQUE LINS BRITES,70744,70,AVANTE,12,4
1,7,170001619682,FRED FILHO,FREDERICO JOSÉ DA SILVA PEREIRA FILHO,22444,22,PL,12,5
1,7,170001619718,GERITON BARBOSA,GERITON JOSÉ BARBOSA,22789,22,PL,12,5
1,7,170001718662,CARLOS FREITAS DA SAUDE,CARLOS ANTONIO ALVES DE FREITAS,36500,36,AGIR,12,4
1,7,170001613424,ADELMO ARRUDA,ADELMO MENDES DE ARRUDA,70333,70,AVANTE,3,-1
1,7,170001723377,PING DA CONSTRUÇÃO,SEVERINO BARBOZA DE SOUZA,27331,27,DC,3,-1
1,6,170001618845,WILL CONECTADO COM VOCÊ,JOSÉ LUIZ DA SILVA,1277,12,PDT,12,4
1,6,170001718775,ZALDO BEZERRA,JESOALDO BEZERRA DE ALMEIDA,3613,36,AGIR,12,4
