CD_CARGO,NR_TURNO,CD_MUN,QT_VOTOS
5,1,2603702,13507
5,1,2603801,11765
5,1,2603900,12273
5,1,2603926,9068
5,1,2604007,48249
5,1,2604106,205619
5,1,2604155,9305
5,1,2604205,19638
5,1,2604304,7525
5,1,2604403,9227
5,1,2604502,15435
5,1,2604601,15808
5,1,2604700,9699
5,1,2604809,8419
5,1,2604908,11775
5,1,2605004,15790
5,1,2605103,21358
5,1,2605152,12915
5,1,2605202,39300
5,1,2605301,21264
5,1,2605400,14553
5,1,2605459,2300
5,1,2605509,8087
5,1,2605608,12584
5,1,2605707,18821
5,1,2605806,10233
5,1,2605905,11744
5,1,2606002,78560
5,1,2606101,18527
5,1,2606200,52315
5,1,2606309,5628
5,1,2606408,54213
5,1,2606507,11039
5,1,2606606,15350
5,1,2606705,5447
5,1,2606804,72677
5,1,2606903,7015
5,1,2607000,11041
5,1,2607109,3387
5,1,2607208,66935
5,1,2607307,16813
5,1,2607406,3567
5,1,2607505,14715
5,1,2607604,14008
5,1,2607653,19151
5,1,2607703,9372
5,1,2607752,16359
5,1,2607802,10788
5,1,2607901,387590
5,1,2607950,7020
5,1,2608008,11497
5,1,2608057,8316
5,1,2608107,18814
5,1,2608206,10105
5,1,2608255,7987
5,1,2608305,10121
5,1,2608404,9153
5,1,2608453,12373
5,1,2608503,14791
5,1,2608602,8462
5,1,2608701,9098
5,1,2608750,16095
5,1,2608800,24722
5,1,2608909,37209
5,1,2609006,15163
5,1,2609105,8573
5,1,2609154,9587
5,1,2609204,6360
5,1,2609303,8978
5,1,2609402,40036
5,1,2609501,21117
5,1,2609600,258405
5,1,2609709,14733
5,1,2609808,9648
5,1,2609907,37194
5,1,2610004,31513
5,1,2610103,4487
5,1,2610202,15510
5,1,2610301,8799
5,1,2610400,14418
5,1,2610509,20719
5,1,2610608,36993
5,1,2610707,195450
5,1,2610806,14626
5,1,2610905,38241
5,1,2611002,19419
5,1,2611101,190832
5,1,2611200,7837
5,1,2611309,16700
5,1,2611408,8739
5,1,2611507,11513
5,1,2611533,4962
5,1,2611606,1041541
5,1,2611705,17177
5,1,2611804,22380
5,1,2611903,12781
5,1,2612000,9526
5,1,2612109,5432
5,1,2612208,33660
5,1,2612307,9329
5,1,2612406,12805
5,1,2612455,10125
5,1,2612471,7536
5,1,2612505,53119
5,1,2612554,9499
5,1,2612604,24081
5,1,2612703,8904
5,1,2612802,6372
5,1,2612901,5851
5,1,2613008,27740
5,1,2613107,25355
5,1,2613206,14035
5,1,2613305,14046
5,1,2613404,12207
5,1,2613503,20135
5,1,2613602,18547
5,1,2613701,67201
5,1,2613800,11258
5,1,2613909,48881
5,1,2614006,12188
5,1,2614105,19300
5,1,2614204,22261
5,1,2614303,7511
5,1,2614402,4365
5,1,2614501,38186
5,1,2614600,16412
5,1,2614709,8457
5,1,2614808,13523
5,1,2614857,14652
5,1,2615003,17462
5,1,2615102,5025
5,1,2615201,6920
5,1,2615300,33890
5,1,2615409,27495
5,1,2615508,9348
5,1,2615607,17418
5,1,2615706,9394
5,1,2615805,12469
5,1,2615904,6432
5,1,2616001,11218
5,1,2616100,6385
5,1,2616183,6293
5,1,2616209,13209
5,1,2616308,17288
5,1,2616407,84935
5,1,2616506,7800
6,1,2600054,68900
6,1,2600104,22443
6,1,2600203,13773
6,1,2600302,16452
6,1,2600401,15678
6,1,2600500,24088
6,1,2600609,9929
6,1,2600708,22086
6,1,2600807,13820
6,1,2600906,13526
6,1,2601003,6944
6,1,2601052,13814
6,1,2601102,46163
6,1,2601201,40251
6,1,2601300,8336
6,1,2601409,23494
6,1,2601508,7637
6,1,2601607,12161
6,1,2601706,48922
6,1,2601805,7433
6,1,2601904,39215
6,1,2602001,20612
6,1,2602100,26190
6,1,2602209,23937
6,1,2602308,24471
6,1,2602407,7382
6,1,2602506,5749
6,1,2602605,26424
6,1,2602704,9288
6,1,2602803,28146
6,1,2602902,136496
6,1,2603009,20193
6,1,2603108,12888
6,1,2603207,14692
6,1,2603306,6276
6,1,2603405,5277
6,1,2603454,104582
